No,TIME,Pos1_Relative@RevJoint1,Pos1_Relative@RevJoint2,Vel1_Relative@RevJoint1,Vel1_Relative@RevJoint2,Acc1_Relative@RevJoint1,Acc1_Relative@RevJoint2
184,1.83,16.523892,-66.857913,-6.3243335,3.1467923,-82.165153,119.981
185,1.84,12.701656,-64.733035,-7.0498372,4.2894717,-75.7553,116.17229
186,1.85,8.4784683,-61.960269,-7.7207481,5.4047805,-69.979159,113.07802
187,1.86,3.882834,-58.553016,-8.3459162,6.5004733,-65.004259,110.73886
188,1.87,-1.0620077,-54.520322,-8.935118,7.5841785,-60.948209,109.15996
189,1.88,-6.3380702,-49.867585,-9.4975109,8.6616459,-57.808926,108.21782
190,1.89,-11.93123,-44.598972,-10.038625,9.732919,-55.343945,107.49081
191,1.9,-17.82724,-38.723266,-10.554764,10.784831,-52.857229,105.95773
192,1.91,-24.003265,-32.265781,-11.023558,11.778135,-48.872017,101.5395
193,1.92,-30.413281,-25.288611,-11.391784,12.63097,-40.839039,90.702178
194,1.93,-36.969457,-17.916047,-11.570233,13.212598,-25.509611,69.00929
195,1.94,-43.530955,-10.348999,-11.456621,13.376707,-0.92909981,33.943662
196,1.95,-49.91669,-2.8453914,-10.991827,13.040906,30.676576,-11.072188
197,1.96,-55.942423,4.3335044,-10.202727,12.246172,62.832165,-56.672971
198,1.97,-61.458846,10.977514,-9.1835157,11.129208,88.891505,-93.355276
199,1.98,-66.369122,16.952483,-8.0410873,9.844441,105.79239,-116.76954
200,1.99,-70.625232,22.194873,-6.857445,8.5104001,114.17362,-127.85924
201,2,-74.213977,26.691499,-5.6811549,7.1972912,116.47721,-130.16035
202,2.01,-77.14222,30.458062,-4.534353,5.9367908,115.2792,-127.42014
203,2.02,-79.425647,33.522642,-3.4226231,4.7361077,112.54173,-122.51892
204,2.03,-81.081503,35.914881,-2.342356,3.5885164,109.53171,-117.34573
205,2.04,-82.124535,37.659774,-1.2856433,2.4804964,106.95809,-112.98324
206,2.05,-82.564932,38.774395,-0.24273814,1.3953627,105.17971,-110.00332
207,2.06,-82.407411,39.266323,0.79670599,0.31517614,104.35618,-108.68021
208,2.07,-81.65085,39.132929,1.84321,-0.7785122,104.55233,-109.13929
209,2.08,-80.288104,38.361014,2.9074373,-1.904463,105.79926,-111.44315
210,2.09,-78.305859,36.926586,4.000283,-3.0816995,108.1228,-115.63015
211,2.1,-75.684603,34.79494,5.1325977,-4.3288609,111.52859,-121.68748
212,2.11,-72.399066,31.921568,6.3140396,-5.6622597,115.93898,-129.45575
213,2.12,-68.420162,28.255407,7.5495729,-7.0904969,121.01522,-138.36773
214,2.13,-63.72059,23.747534,8.8312028,-8.602255,125.7804,-146.90645
215,2.14,-58.287696,18.370404,10.122134,-10.143431,127.98888,-151.71386
216,2.15,-52.146672,12.151812,11.336067,-11.587806,123.5918,-146.86296
217,2.16,-45.388776,5.2156587,12.333076,-12.732061,107.66457,-125.23803
218,2.17,-38.183215,-2.2011103,12.966739,-13.36412,78.132383,-83.883285
219,2.18,-30.751937,-9.7849603,13.167001,-13.382121,39.394901,-29.161121
220,2.19,-23.319508,-17.218265,12.97304,-12.842187,0.20093427,26.275186
221,2.2,-16.072403,-24.238946,12.486859,-11.893319,-32.345116,72.016306
222,2.21,-9.145142,-30.662091,11.811236,-10.689054,-55.823231,104.28973
223,2.22,-2.6269305,-36.371994,11.019462,-9.3432389,-71.392687,124.48427
224,2.23,3.4240109,-41.302522,10.153115,-7.9252643,-81.554017,136.0264
225,2.24,8.9669526,-45.417902,9.2309449,-6.4713404,-88.662676,142.27039
226,2.25,13.968944,-48.698187,8.258054,-4.9964185,-94.413617,145.75159
227,2.26,18.399043,-51.129834,7.2329101,-3.5034498,-99.814131,148.11511
228,2.27,22.225459,-52.700091,6.1515443,-1.9889107,-105.36243,150.34098
229,2.28,25.414475,-53.393725,5.0096461,-0.44562204,-111.24736,152.99957
230,2.29,27.930157,-53.190863,3.8030986,1.136402,-117.51895,156.46813
231,2.3,29.734207,-52.065158,2.5276446,2.7700584,-124.20325,161.06647
232,2.31,30.785492,-49.981745,1.1779284,4.4720002,-131.38217,167.15161
233,2.32,31.039146,-46.894901,-0.25335647,6.263217,-139.21304,175.13166
234,2.33,30.445748,-42.74617,-1.7748657,8.1675731,-147.83829,185.33429
235,2.34,28.952626,-37.465768,-3.391148,10.203608,-157.03159,197.51377
236,2.35,26.512988,-30.985261,-5.0839605,12.357907,-165.19803,209.45786
237,2.36,23.115363,-23.278926,-6.7659768,14.519831,-167.20043,213.94751
238,2.37,18.846006,-14.45164,-8.2121632,16.384733,-152.1459,195.64266
239,2.38,13.955444,-4.8332064,-9.0777453,17.477741,-108.42078,138.08141
240,2.39,8.8357762,5.0512434,-9.1354383,17.483762,-39.986457,46.428557
241,2.4,3.8915301,14.659184,-8.4762529,16.527719,30.616875,-48.260014
242,2.41,-0.57473236,23.588488,-7.3779792,14.992355,83.423871,-118.4443
243,2.42,-4.3908159,31.615892,-6.0929342,13.223406,113.47762,-157.41138
244,2.43,-7.4873749,38.657892,-4.7766113,11.430683,125.58073,-171.98531
245,2.44,-9.8588269,44.7158,-3.5061892,9.7142593,126.55505,-171.75667
246,2.45,-11.532856,49.832959,-2.3131146,8.1101707,121.72332,-164.19146
247,2.46,-12.551719,54.068639,-1.2065132,6.6234207,114.34786,-153.84716
248,2.47,-12.962416,57.484443,-0.18607627,5.2462247,106.14509,-143.09545
249,2.48,-12.812217,60.13836,0.75162155,3.9670892,97.894884,-132.97418
250,2.49,-12.147011,62.082898,1.6104329,2.7748067,89.885717,-123.81023
251,2.5,-11.010901,63.36507,2.393827,1.6597905,82.188177,-115.60449
252,2.51,-9.4462304,64.027101,3.104854,0.61428715,74.797864,-108.23505
253,2.52,-7.4936457,64.107244,3.7464224,-0.36791882,67.703847,-101.55875
254,2.53,-5.1920565,63.640492,4.3215947,-1.2918909,60.912769,-95.451052
